Model Year,Division,Carline,Eng Displ,# Cyl,City FE,Hwy FE,Comb FE
2021,Acura,NSX,3.5,6,21,22,21
2021,Aston Martin Lagonda Ltd,Vantage Manual,4.0,8,14,21,17
2021,Aston Martin Lagonda Ltd,Vantage V8,4.0,8,18,24,20
2021,Audi,R8,5.2,10,13,20,16
2021,Audi,R8 2WD,5.2,10,14,23,17
2021,Audi,R8 Spyder,5.2,10,13,20,16
2021,Audi,R8 Spyder 2WD,5.2,10,14,23,17
2021,Audi,TT Roadster quattro,2.0,4,23,31,26
2021,BMW,Z4 M40i,3.0,6,22,30,25
2021,BMW,Z4 sDrive30i,2.0,4,25,32,28
2021,Bugatti,Chiron,8.0,16,9,14,11
2021,Bugatti,Chiron Pur Sport,8.0,16,8,13,10
2021,Chevrolet,CORVETTE,6.2,8,15,27,19
2021,Ferrari North America Inc.,812 GTS,6.5,12,12,15,13
2021,Ferrari North America Inc.,812 Superfast,6.5,12,12,16,13
2021,Ferrari North America Inc.,F8 Spider,3.9,8,15,18,16
2021,Ferrari North America Inc.,F8 Tributo,3.9,8,15,19,16
2021,Ford,FORD GT,3.5,6,12,18,14
2021,Jaguar,F-TYPE Convertible,2.0,4,23,30,26
2021,Jaguar,F-TYPE Coupe,2.0,4,23,30,26
2021,Jaguar,F-TYPE R AWD Convertible,5.0,8,16,24,18
2021,Jaguar,F-TYPE R AWD Coupe,5.0,8,16,24,18
2021,Jaguar,F-TYPE S AWD Convertible,3.0,6,18,26,21
2021,Jaguar,F-TYPE S AWD Coupe,3.0,6,18,26,21
2021,Jaguar,F-TYPE S Convertible,3.0,6,19,27,22
2021,Jaguar,F-TYPE S Coupe,3.0,6,19,27,22
2021,Lamborghini,Aventador Coupe,6.5,12,8,15,10
2021,Lamborghini,Aventador Roadster,6.5,12,9,15,10
2021,Lamborghini,Aventador Sian Coupe,6.5,12,8,14,10
2021,Lamborghini,Aventador Sian Roadster,6.5,12,8,14,10
2021,Lamborghini,Huracan,5.2,10,13,18,15
2021,Lamborghini,Huracan 2WD,5.2,10,13,18,15
2021,Lamborghini,Huracan Spyder,5.2,10,13,18,15
2021,Lamborghini,Huracan Spyder 2WD,5.2,10,13,18,15
2021,MAZDA,MX-5,2.0,4,26,35,30
2021,MAZDA,MX-5,2.0,4,26,34,29
2021,McLaren,765LT Coupe,4.0,8,14,18,16
2021,McLaren,720S Coupe,4.0,8,15,22,18
2021,McLaren,720S Coupe LM,4.0,8,15,22,18
2021,McLaren,720S Spider,4.0,8,15,22,18
2021,McLaren,Elva,4.0,8,15,21,18
2021,McLaren,GT,4.0,8,15,22,18
2021,Mercedes-Benz,AMG GT (coupe),4.0,8,15,20,17
2021,Mercedes-Benz,AMG GT (roadster),4.0,8,15,20,17
2021,Mercedes-Benz,AMG GT Black Series,4.0,8,15,20,17
2021,Mercedes-Benz,AMG GT C (coupe),4.0,8,15,19,17
2021,Mercedes-Benz,AMG GT C (roadster),4.0,8,15,20,17
2021,Mercedes-Benz,AMG GT R (coupe),4.0,8,14,20,16
2021,NISSAN,370Z,3.7,6,17,26,20
2021,Porsche,718 Boxster,2.0,4,21,27,24
2021,Porsche,718 Boxster,2.0,4,20,26,22
2021,Porsche,718 Boxster GTS 4.0,4.0,6,19,24,21
2021,Porsche,718 Boxster GTS 4.0,4.0,6,17,24,19
2021,Porsche,718 Boxster S,2.5,4,19,25,22
2021,Porsche,718 Boxster S,2.5,4,19,24,21
2021,Porsche,718 Boxster T,2.0,4,21,27,23
2021,Porsche,718 Boxster T,2.0,4,20,26,22
2021,Porsche,718 Cayman,2.0,4,21,27,24
2021,Porsche,718 Cayman,2.0,4,20,26,22
2021,Porsche,718 Cayman GT4,4.0,6,18,24,20
2021,Porsche,718 Cayman GT4,4.0,6,17,23,19
2021,Porsche,718 Cayman GTS 4.0,4.0,6,19,24,21
2021,Porsche,718 Cayman GTS 4.0,4.0,6,17,24,19
2021,Porsche,718 Cayman S,2.5,4,19,25,22
2021,Porsche,718 Cayman S,2.5,4,19,24,21
2021,Porsche,718 Cayman T,2.0,4,21,27,23
2021,Porsche,718 Cayman T,2.0,4,20,26,22
2021,Porsche,718 Spyder,4.0,6,18,24,20
2021,Porsche,718 Spyder,4.0,6,17,23,19
2021,TOYOTA,Supra 2.0,2.0,4,25,32,28
2021,TOYOTA,Supra 3.0,3.0,6,22,30,25
2021,Aston Martin Lagonda Ltd,DB11 V12,5.2,12,15,22,18
2021,Aston Martin Lagonda Ltd,DB11 V8,4.0,8,18,24,20
2021,Aston Martin Lagonda Ltd,DBS,5.2,12,14,22,17
2021,Bentley,Continental GT Convertible,4.0,8,16,26,19
2021,Bentley,Continental GT Convertible,6.0,12,12,19,15
2021,Ferrari North America Inc.,Portofino,3.9,8,16,22,18
2021,Ferrari North America Inc.,Portofino M,3.9,8,16,23,19
2021,LEXUS,LC 500 CONVERTIBLE,5.0,8,15,25,18
2021,Lotus Cars Ltd,Evora GT,3.5,6,17,24,20
2021,Lotus Cars Ltd,Evora GT,3.5,6,17,26,20
2021,Mini,COOPER CONVERTIBLE,1.5,3,28,37,31
2021,Mini,COOPER CONVERTIBLE,1.5,3,26,37,30
2021,Mini,COOPER S CONVERTIBLE,2.0,4,26,34,29
2021,Mini,COOPER S CONVERTIBLE,2.0,4,23,32,26
2021,Mini,JOHN COOPER WORKS CONVERTIBLE,2.0,4,25,33,28
2021,Porsche,911 Carrera,3.0,6,18,24,20
2021,Porsche,911 Carrera 4,3.0,6,18,24,20
2021,Porsche,911 Carrera 4 Cabriolet,3.0,6,18,24,20
2021,Porsche,911 Carrera 4S,3.0,6,18,23,20
2021,Porsche,911 Carrera 4S,3.0,6,17,25,20
2021,Porsche,911 Carrera 4S Cabriolet,3.0,6,18,23,20
2021,Porsche,911 Carrera 4S Cabriolet,3.0,6,17,24,20
2021,Porsche,911 Carrera Cabriolet,3.0,6,18,24,20
2021,Porsche,911 Carrera S,3.0,6,18,23,20
2021,Porsche,911 Carrera S,3.0,6,18,25,21
2021,Porsche,911 Carrera S Cabriolet,3.0,6,18,23,20
2021,Porsche,911 Carrera S Cabriolet,3.0,6,17,25,20
2021,Porsche,911 Targa 4,3.0,6,18,24,20
2021,Porsche,911 Targa 4S,3.0,6,18,23,20
2021,Porsche,911 Targa 4S,3.0,6,17,24,20
2021,Porsche,911 Turbo,3.7,6,15,20,17
2021,Porsche,911 Turbo Cabriolet,3.7,6,15,20,17
2021,Porsche,911 Turbo S,3.7,6,15,20,17
2021,Porsche,911 Turbo S Cabriolet,3.7,6,15,20,17
2021,Audi,A5 Cabriolet quattro,2.0,4,23,31,26
2021,Audi,A5 quattro,2.0,4,24,31,27
2021,Audi,RS 5,2.9,6,18,25,20
2021,Audi,S5,3.0,6,20,28,23
2021,Audi,S5 Cabriolet,3.0,6,20,26,22
2021,Audi,TT Coupe quattro,2.0,4,23,31,26
2021,Audi,TT RS,2.5,5,20,30,24
2021,Audi,TTS Coupe,2.0,4,23,29,25
2021,Bentley,Continental GT,4.0,8,16,26,19
2021,Bentley,Continental GT,6.0,12,12,20,15
2021,BMW,230i Convertible,2.0,4,23,33,27
2021,BMW,230i Coupe,2.0,4,25,32,28
2021,BMW,230i Coupe,2.0,4,21,32,25
2021,BMW,230i xDrive Convertible,2.0,4,21,30,24
2021,BMW,230i xDrive Coupe,2.0,4,21,30,24
2021,BMW,430i Convertible,2.0,4,24,33,27
2021,BMW,430i Coupe,2.0,4,26,34,29
2021,BMW,430i xDrive Coupe,2.0,4,24,33,27
2021,BMW,840i Convertible,3.0,6,22,29,25
2021,BMW,840i Coupe,3.0,6,23,30,25
2021,BMW,840i xDrive Convertible,3.0,6,20,27,23
2021,BMW,840i xDrive Coupe,3.0,6,20,27,23
2021,BMW,M2 Competition Coupe,3.0,6,16,23,19
2021,BMW,M2 Competition Coupe,3.0,6,18,24,20
2021,BMW,M240i Convertible,3.0,6,21,30,24
2021,BMW,M240i Convertible,3.0,6,19,27,21
2021,BMW,M240i Coupe,3.0,6,21,30,24
2021,BMW,M240i Coupe,3.0,6,19,27,21
2021,BMW,M240i xDrive Convertible,3.0,6,21,30,24
2021,BMW,M240i xDrive Coupe,3.0,6,21,30,24
2021,BMW,M4 Competition Coupe,3.0,6,16,23,19
2021,BMW,M4 Coupe,3.0,6,16,23,19
2021,BMW,M440i Convertible,3.0,6,23,31,26
2021,BMW,M440i xDrive Coupe,3.0,6,22,31,25
2021,BMW,M8 Competition Convertible,4.4,8,15,21,17
2021,BMW,M8 Convertible,4.4,8,15,21,17
2021,BMW,M850i xDrive Convertible,4.4,8,17,24,19
2021,BMW,M850i xDrive Coupe,4.4,8,17,25,20
2021,Chevrolet,CAMARO,2.0,4,22,30,25
2021,Chevrolet,CAMARO,2.0,4,19,29,22
2021,Chevrolet,CAMARO,3.6,6,18,29,22
2021,Chevrolet,CAMARO,3.6,6,16,26,20
2021,Chevrolet,CAMARO,6.2,8,13,21,16
2021,Chevrolet,CAMARO,6.2,8,16,26,20
2021,Chevrolet,CAMARO,6.2,8,16,24,19
2021,Chevrolet,CAMARO,6.2,8,14,20,16
2021,Chevrolet,SPARK,1.4,4,30,38,33
2021,Chevrolet,SPARK,1.4,4,29,38,33
2021,Chevrolet,SPARK ACTIV,1.4,4,30,37,33
2021,Chevrolet,SPARK ACTIV,1.4,4,29,37,32
2021,Ferrari North America Inc.,Roma,3.9,8,17,22,19
2021,Ford,MUSTANG,2.3,4,21,32,25
2021,Ford,MUSTANG,2.3,4,21,32,25
